iter	Logloss
0	0.6866005586
1	0.6805964987
2	0.6731065958
3	0.6665221508
4	0.6603010289
5	0.6545098009
6	0.6488587762
7	0.6435626799
8	0.6384408639
9	0.6344003312
10	0.6298383092
11	0.6253619565
12	0.6206403345
13	0.61660071
14	0.6124069738
15	0.6087565125
16	0.6052949154
17	0.6020588029
18	0.5993729433
19	0.5963580704
20	0.5943900742
21	0.5920645724
22	0.5902708112
23	0.5876855013
24	0.585230706
25	0.582872965
26	0.5802863359
27	0.5778985053
28	0.576170308
29	0.5745539069
30	0.5726859099
31	0.5708872389
32	0.5689520601
33	0.5676173479
34	0.566078715
35	0.5646191482
36	0.5631923898
37	0.5620769132
38	0.5609871396
39	0.559535666
40	0.5583094053
41	0.5571921391
42	0.5565264124
43	0.5556469788
44	0.5543922054
45	0.5534122906
46	0.5523229851
47	0.5515715909
48	0.5505696265
49	0.5500865165
50	0.5494242438
51	0.5484685797
52	0.5478606463
53	0.5471436869
54	0.5466206533
55	0.5459541625
56	0.5454801071
57	0.544981917
58	0.5444149773
59	0.5438476108
60	0.5432969268
61	0.5428008946
62	0.5422827781
63	0.541665799
64	0.5412292911
65	0.5407904202
66	0.5403751892
67	0.5399823689
68	0.5396549563
69	0.5392469164
70	0.5388820089
71	0.5385316578
72	0.5381747364
73	0.537867803
74	0.5375777976
75	0.5371887526
76	0.5369706704
77	0.5367519439
78	0.536399051
79	0.5361443772
80	0.5359558506
81	0.535734785
82	0.5355521861
83	0.535346992
84	0.5350858565
85	0.5348959226
86	0.5347079866
87	0.5345681973
88	0.5343158327
89	0.5340979211
90	0.5339136745
91	0.5338410067
92	0.5336881251
93	0.5335707287
94	0.5334456482
95	0.5333491795
96	0.5332163747
97	0.533157953
98	0.5330226598
99	0.5329675295
100	0.5328250625
101	0.5326704765
102	0.5326187855
103	0.5324690168
104	0.5323621563
105	0.5322882718
106	0.5322219207
107	0.5321387262
108	0.5320334802
109	0.5319596971
110	0.5319171691
111	0.5318385789
112	0.5317736112
113	0.5316869754
114	0.5316097285
115	0.5314929714
116	0.5313816959
117	0.5313042716
118	0.5312349279
119	0.531184632
120	0.5310863301
121	0.5310031771
122	0.5309762111
123	0.5308993756
124	0.5308431043
125	0.5307877269
126	0.5307497415
127	0.5306713335
128	0.5305958054
129	0.5305775057
130	0.5305449568
131	0.5304838725
132	0.5304369906
133	0.5304059614
134	0.530378994
135	0.5303455053
136	0.5303176446
137	0.530287038
138	0.5302306285
139	0.530209529
140	0.5301991253
141	0.530170016
142	0.5301476083
143	0.5301155777
144	0.5301026306
145	0.5300596908
146	0.5300323377
147	0.5299996531
148	0.5299823498
149	0.5299622084
150	0.5299507775
151	0.529933335
152	0.5299213682
153	0.5299030354
154	0.5298829563
155	0.5298436353
156	0.5298176611
157	0.5298044123
158	0.5297897467
159	0.5297712478
160	0.5297578887
161	0.5297499573
162	0.5297463575
163	0.5297376144
164	0.5297318601
165	0.5297215433
166	0.5297050663
167	0.5296872975
168	0.5296728643
169	0.5296571603
170	0.5296502815
171	0.5296415486
172	0.5296321742
173	0.5296168154
174	0.5296079818
175	0.5296009769
176	0.5295956938
177	0.5295930069
178	0.529582991
179	0.5295661746
180	0.5295625418
181	0.5295574197
182	0.5295491253
183	0.5295464463
184	0.5295403729
185	0.5295306719
186	0.5295230606
187	0.5295100667
188	0.5295108208
189	0.5294980928
190	0.5294942412
191	0.5294911506
192	0.5294830354
193	0.5294773728
194	0.5294554019
195	0.5294298453
196	0.5294267535
197	0.5294218063
198	0.5294020585
199	0.5293928984
200	0.5293905659
201	0.5293836157
202	0.5293824416
203	0.5293756566
204	0.5293591825
205	0.529354665
206	0.5293520154
207	0.5293516953
208	0.5293455943
209	0.5293413595
210	0.5293391386
211	0.5293354295
212	0.5293324018
213	0.5293294539
214	0.5293227161
215	0.5293197144
216	0.5293033677
217	0.5293014796
218	0.5292991778
219	0.5292992769
220	0.5292947272
221	0.5292929614
222	0.5292919752
223	0.5292897131
224	0.5292893322
225	0.5292863187
226	0.5292816121
227	0.5292819033
228	0.5292782647
229	0.5292767627
230	0.5292738058
231	0.5292752422
232	0.5292633002
233	0.5292578662
234	0.5292543332
235	0.5292514962
236	0.5292502025
237	0.5292368635
238	0.5292375737
239	0.5292270823
240	0.529227578
241	0.5292201975
242	0.5292205169
243	0.5292190825
244	0.5292167062
245	0.529208597
246	0.5292054377
247	0.5292038701
248	0.5292038696
249	0.5292014795
250	0.5292027504
251	0.5291986606
252	0.5292002651
253	0.5291931163
254	0.5291926905
255	0.5291930665
256	0.5291909237
257	0.529188718
258	0.5291872819
259	0.5291864563
260	0.5291871222
261	0.5291746985
262	0.5291723838
263	0.5291700666
264	0.5291659067
265	0.529166793
266	0.5291639378
267	0.5291633477
268	0.5291616118
269	0.5291614441
270	0.5291596951
271	0.5291612452
272	0.5291602419
273	0.5291581237
274	0.5291570764
275	0.5291572417
276	0.5291577382
277	0.5291555661
278	0.5291564511
279	0.5291544717
280	0.5291484424
281	0.5291489946
282	0.5291411768
283	0.5291402882
284	0.5291394825
285	0.5291383671
286	0.5291359768
287	0.5291272254
288	0.5291279414
289	0.5291188065
290	0.5291204175
291	0.5291163013
292	0.5291186459
293	0.5291184821
294	0.5291174535
295	0.5291148059
296	0.5291091768
297	0.5291079262
298	0.5291101908
299	0.5291073197
300	0.5291073035
301	0.5291068629
302	0.5291011617
303	0.5290988101
304	0.5290988965
305	0.5290983435
306	0.5291004176
307	0.5290988462
308	0.5291000366
309	0.5290986319
310	0.5290930674
311	0.5290928883
312	0.5290921946
313	0.5290921946
314	0.5290921946
315	0.529091927
316	0.529083308
317	0.5290835428
318	0.5290771891
319	0.5290716092
320	0.529064595
321	0.529065202
322	0.5290591828
323	0.5290593649
324	0.5290592001
325	0.5290593584
326	0.5290569513
327	0.5290512117
328	0.5290486933
329	0.5290495525
330	0.529049328
331	0.5290440326
332	0.5290413199
333	0.52904337
334	0.5290417663
335	0.5290418969
336	0.52904044
337	0.529039116
338	0.529039116
339	0.529039116
340	0.529039834
341	0.5290378427
342	0.5290407354
343	0.5290389349
344	0.529031711
345	0.529031711
346	0.529031711
347	0.5290320423
348	0.5290296405
349	0.5290309565
350	0.5290299555
351	0.5290300107
352	0.5290297892
353	0.5290302861
354	0.5290329148
355	0.5290297357
356	0.5290296216
357	0.5290298272
358	0.5290288339
359	0.5290280616
360	0.5290280555
361	0.5290292565
362	0.5290298406
363	0.5290273153
364	0.5290246594
365	0.5290229412
366	0.5290231061
367	0.5290227742
368	0.5290248641
369	0.5290235878
370	0.5290238987
371	0.529023125
372	0.5290185029
373	0.5290142691
374	0.5290108643
